text,x,y,z
addresses,-17.27703,12.62003,-8.081342
traditional,-2.7659385,8.477089,10.205246
interaction,-7.0310483,2.6409724,4.423535
recording,2.9874706,13.473196,-8.029703
enables,-13.791241,20.469084,11.845838
moving,-9.567551,26.983917,-12.399539
runs,-6.2095532,11.288501,-8.009222
title,3.371059,-2.724214,3.050285
video,2.6377609,7.4836154,-10.529407
Liquid,-1.9499762,26.334538,-24.251476
Camille,13.259051,-30.270086,-8.428936
concept,0.15682873,2.1727602,4.5298395
embodied,7.377014,13.139696,5.1229424
attempt,-20.603016,3.5892847,-3.099324
tracked,-10.063481,18.735292,-5.402572
different,-12.620401,-3.8900537,10.258736
projection,-13.554821,17.157652,-16.624191
however,-24.27383,1.6995391,11.340793
of,-11.053778,-21.133463,-7.2266684
motions,-6.9749265,29.702623,-5.435743
SlitScan,10.9910755,24.618448,-11.981874
SlitScan,11.171548,22.707993,-11.137869
create,-7.858555,12.188318,2.111978
phenomena,-0.90420663,25.693058,12.351064
slitscan,11.845883,24.952106,-7.949097
film,7.5277505,5.757796,-16.58979
In,-9.675858,-23.71577,5.9681435
extracted,4.0778513,20.161982,-1.4653233
direction,-17.428377,12.405619,-10.782475
leaning,-13.725336,6.093269,-13.919237
Another,-15.649107,-9.264847,10.784053
distortion,8.372823,25.078243,4.4877687
couple,-2.9045472,-13.896391,11.841358
sequentially,4.556602,13.243734,14.051738
SlitScan,12.815693,23.580217,-12.107557
Bob,14.589345,-21.190104,5.972099
Streak,10.623061,21.398504,-19.517649
Bob,14.589345,-21.190104,5.972099
Streak,10.623061,21.398504,-19.517649
Bob,16.031334,-20.22323,6.2823095
Streak,9.247357,20.628736,-18.735636
Andrew,20.823915,-17.669725,-0.57774436
Basics,0.08422649,-9.579238,19.369402
SlitScan,12.815693,23.580217,-12.107557
Camera,8.301771,1.8029442,-12.300372
Improvised,-3.3380108,18.405645,0.5935947
Image,8.667443,-0.6602074,2.0963633
In,-12.398408,-25.325964,2.0178692
excellent,-14.612303,8.104736,16.729572
photographic,15.720038,11.617708,-5.6412616
Davidhazys,19.10712,-14.900403,2.3177502
infrared,12.174925,16.309967,-5.6395555
peripheral,12.139075,10.411373,3.0605443
Video,3.1437943,8.344869,-12.248957
have,-28.684568,-1.5985168,-6.338156
scanning,10.812469,18.114706,-5.2086906
visual,9.6226635,10.301433,1.618872
music,-0.5095186,4.164989,-6.729762
Electronic,5.27685,3.4203465,-6.0267353
Footage,1.1632286,7.593366,-13.360299
pieces,-3.364459,-5.197322,-0.541579
Beatles,26.240074,-3.7265902,4.727802
Gun,8.226364,-0.40481654,-12.760776
speeds,-19.008701,27.11168,-1.7428875
blurring,8.274584,26.795761,5.4638853
procession,-1.4486775,23.898273,-9.678113
manipulation,3.698923,22.15485,12.358145
parody,18.047167,3.3923676,8.20344
body,-0.47003618,-7.940804,4.854694
doll,13.632866,-5.440566,15.600772
Pipilotti,26.702724,0.078402355,-2.4325554
Im,-9.974902,-24.765507,-0.4604955
Zbig,5.4824743,-5.0642133,-28.509537
Zbig,5.4824743,-5.0642133,-28.509537
Rybczynski,14.283643,-21.873821,-11.672794
film,7.030981,7.4294996,-16.723915
potential,-22.629288,2.8285224,-3.1962132
movements,-7.025746,28.453344,-4.6459417
visualized,7.6826463,11.702624,3.3538318
reproduced,0.91078955,16.892517,1.9685911
each,-11.880119,-14.453738,18.020273
higher,-10.958531,-8.912446,7.07634
position,-18.785261,14.370615,-10.8179455
Martin,23.985727,-23.384117,2.5520306
txtransform,-11.10427,30.763027,3.172459
Martin,23.985727,-23.384117,2.5520306
txtransform,-11.10427,30.763027,3.172459
Martin,23.985727,-23.384117,2.5520306
txtransform,-10.3835,29.167969,3.4585433
Reinhart,14.632329,-16.811676,-15.742823
techniques,0.96806717,23.436205,13.197776
interactive,-8.010855,3.320084,5.213323
Reinhart,14.1136875,-17.945513,-14.499716
invented,-0.4516651,16.290493,-0.7179686
Reinhart,15.770735,-17.948608,-15.054338
presented,2.0661397,14.193144,2.1626232
Ars,-3.506241,0.8632336,-6.2449865
Egbert,21.088572,-10.863014,-8.629303
Passersby,8.533578,-13.75843,14.331472
Egbert,20.720495,-9.163792,-8.332244
Unfolding,-0.72304946,30.309547,8.432742
Egbert,20.506735,-10.348488,-7.041974
Passersby,8.983187,-14.627909,15.194405
Unfolding,-0.72304946,30.309547,8.432742
Mittelstadt,13.768165,-19.601664,-18.160187
transformations,-9.412701,30.197931,1.1466959
Biosphere,3.8459237,6.2201576,-25.251867
technology,-1.4984944,4.08709,1.7808843
photo,11.691981,1.5632899,-1.189509
distorted,8.708463,23.895771,3.816708
photograph,15.702914,8.39399,-6.467602
initial,-21.74005,14.999266,6.861022
Romy,13.030786,-23.833275,-10.576049
